Issue Type,Summary,Status,Updated,Created,Priority,Issue key,Issue id,Parent id,Reporter,Assignee,Resolved,Time Spent
Sub-task,The One Ring has been found,Done,2022-01-22 15:40:00,2022-01-21 15:24:00,Unspecified,LR-8114,333095,330329.0,Boromir,Saruman,2022-01-21 15:26:00,28200.0
Code review,Saruman's betrayal is revealed,Done,2022-01-22 15:40:00,2022-01-21 12:26:00,High,LR-6856,332993,331071.0,Gandalf the Grey,Frodo Baggins,2022-01-21 16:34:00,5400.0
Task,The fall of Sauron at Barad-dûr,Done,2022-01-22 15:40:00,2022-01-21 10:40:00,Medium,LR-5142,332934,,Boromir,Samwise Gamgee,2022-01-21 20:06:00,28800.0
Task,Eowyn defeats the Witch-king,Done,2022-01-30 17:03:00,2022-01-21 01:20:00,ASAP,LR-7928,332838,,Boromir,Frodo Baggins,2022-01-28 17:44:00,30600.0
Code review,Gandalf returns to Middle-Earth,Done,2022-01-22 15:40:00,2022-01-20 16:28:00,High,LR-3110,332782,330401.0,Frodo Baggins,Saruman,2022-01-21 14:53:00,7200.0
Code review,The Shire is restored to peace,Done,2022-01-22 15:39:00,2022-01-20 16:03:00,Medium,LR-6586,332770,326005.0,Pippin Took,Legolas,2022-01-21 12:28:00,1800.0
Sub-task,Frodo and Sam reach Mount Doom,Done,2022-02-14 08:19:00,2022-01-20 11:40:00,Unspecified,LR-7394,332648,286754.0,Boromir,Legolas,2022-02-13 10:09:00,27000.0
Sub-task,The battle of Pelennor Fields,Done,2022-02-14 08:19:00,2022-01-20 11:39:00,Unspecified,LR-3536,332646,286754.0,Frodo Baggins,Boromir,2022-02-12 09:55:00,23400.0
Sub-task,Frodo and Sam reach Mount Doom,Done,2022-02-12 09:45:00,2022-01-20 11:37:00,Unspecified,LR-5534,332645,286754.0,Gandalf the Grey,Gimli,2022-02-11 10:23:00,34200.0
Sub-task,Saruman's betrayal is revealed,Done,2022-01-30 17:03:00,2022-01-20 11:34:00,Unspecified,LR-9103,332642,286754.0,Pippin Took,Legolas,2022-01-30 14:16:00,19800.0
Code review,Eowyn defeats the Witch-king,Done,2022-01-21 12:11:00,2022-01-20 09:33:00,URGENT,LR-2679,332592,331488.0,Pippin Took,Boromir,2022-01-20 15:16:00,5400.0
Research,Eowyn defeats the Witch-king,Done,2022-01-21 12:11:00,2022-01-20 07:33:00,Medium,LR-6049,332567,,Samwise Gamgee,Aragorn,2022-01-20 07:36:00,18000.0
Code review,The Paths of the Dead are taken,Done,2022-01-21 12:11:00,2022-01-17 17:32:00,ASAP,LR-4268,332389,331515.0,Aragorn,Aragorn,2022-01-20 12:43:00,5400.0
Task,The fellowship forms in Rivendell,Done,2022-01-21 12:11:00,2022-01-17 10:58:00,ASAP,LR-1373,332295,,Legolas,Frodo Baggins,2022-01-17 16:17:00,
Story,Helm's Deep is under siege,Done,2022-02-03 15:05:00,2022-01-17 10:58:00,ASAP,LR-8235,332296,,Gimli,Gimli,2022-02-03 15:04:00,36000.0
Story,Helm's Deep is under siege,Done,2022-01-27 11:33:00,2022-01-17 13:34:00,High,LR-5274,332328,,Gandalf the Grey,Frodo Baggins,2022-01-27 09:59:00,12600.0
Story,The Shire is restored to peace,Done,2022-01-21 12:11:00,2022-01-17 09:42:00,Medium,LR-1014,332255,,Frodo Baggins,Frodo Baggins,2022-01-17 09:44:00,5400.0
Story,The battle of Pelennor Fields,Done,2022-01-27 11:33:00,2022-01-16 10:14:00,ASAP,LR-9325,331986,,Frodo Baggins,Boromir,2022-01-27 11:33:00,5400.0
Code review,Helm's Deep is under siege,Done,2022-01-21 12:11:00,2022-01-15 17:29:00,High,LR-2341,331894,331495.0,Gimli,Aragorn,2022-01-16 10:17:00,7200.0
Code review,Frodo and Sam reach Mount Doom,Done,2022-01-24 13:48:00,2022-01-15 15:58:00,High,LR-5423,331869,285040.0,Gimli,Saruman,2022-01-23 14:01:00,31800.0
Story,Gandalf returns to Middle-Earth,Done,2022-01-30 17:03:00,2022-01-15 15:57:00,ASAP,LR-3088,331868,,Frodo Baggins,Gimli,2022-01-27 16:33:00,7920.0
Code review,The battle of Pelennor Fields,Done,2022-01-21 12:11:00,2022-01-15 14:10:00,High,LR-4024,331824,285599.0,Pippin Took,Boromir,2022-01-16 16:24:00,2700.0
Story,The Shire is restored to peace,Done,2022-01-21 12:11:00,2022-01-15 11:21:00,High,LR-3439,331744,,Aragorn,Frodo Baggins,2022-01-17 15:51:00,
Story,Eowyn defeats the Witch-king,Done,2022-01-21 12:11:00,2022-01-15 11:19:00,High,LR-8778,331743,,Samwise Gamgee,Legolas,2022-01-17 15:50:00,
Story,Saruman's betrayal is revealed,Done,2022-01-30 17:03:00,2022-01-15 11:17:00,High,LR-5411,331742,,Legolas,Saruman,2022-01-30 17:03:00,7200.0
Code review,The Shire is restored to peace,Done,2022-01-21 12:11:00,2022-01-15 11:06:00,URGENT,LR-3115,331740,330732.0,Pippin Took,Samwise Gamgee,2022-01-15 12:35:00,1800.0
Code review,The Ents march on Isengard,Done,2022-01-21 12:11:00,2022-01-14 17:22:00,High,LR-3677,331615,310026.0,Gandalf the Grey,Samwise Gamgee,2022-01-15 11:01:00,3600.0
Code review,Frodo and Sam reach Mount Doom,Done,2022-01-21 12:11:00,2022-01-14 14:01:00,High,LR-3934,331530,325419.0,Gandalf the Grey,Aragorn,2022-01-14 14:03:00,
Task,The Paths of the Dead are taken,Done,2022-02-03 15:05:00,2022-01-14 13:25:00,ASAP,LR-3676,331519,,Pippin Took,Aragorn,2022-02-03 15:05:00,9000.0
Task,The Ents march on Isengard,Done,2022-01-31 13:01:00,2022-01-14 13:14:00,ASAP,LR-7516,331515,,Gandalf the Grey,Gandalf,2022-01-30 17:02:00,40500.0
Task,The Ents march on Isengard,Done,2022-01-27 11:33:00,2022-01-14 11:56:00,URGENT,LR-1959,331488,,Gandalf the Grey,Gandalf,2022-01-27 09:58:00,34200.0
Story,Gandalf returns to Middle-Earth,Done,2022-01-22 15:40:00,2022-01-14 12:10:00,High,LR-6982,331495,,Samwise Gamgee,Frodo Baggins,2022-01-22 14:45:00,9000.0
Task,The One Ring has been found,Done,2022-01-21 12:11:00,2022-01-14 08:19:00,ASAP,LR-7239,331392,,Aragorn,Samwise Gamgee,2022-01-15 17:40:00,1800.0
Task,The Shire is restored to peace,Done,2022-01-27 10:11:00,2022-01-14 08:20:00,ASAP,LR-2930,331393,,Frodo Baggins,Boromir,2022-01-21 16:34:00,6600.0
Code review,The Mines of Moria are breached,Done,2022-01-21 12:10:00,2022-01-13 21:55:00,Medium,LR-6826,331335,220717.0,Samwise Gamgee,Gandalf,2022-01-15 12:09:00,4200.0
Story,Gandalf returns to Middle-Earth,Done,2022-01-30 17:03:00,2022-01-13 15:51:00,High,LR-8901,331249,,Boromir,Samwise Gamgee,2022-01-29 16:54:00,25200.0
Code review,The fellowship forms in Rivendell,Done,2022-01-21 12:11:00,2022-01-13 15:46:00,High,LR-6385,331246,328415.0,Frodo Baggins,Frodo Baggins,2022-01-14 14:41:00,9000.0
Bug,The One Ring has been found,Done,2022-01-21 12:11:00,2022-01-13 14:54:00,URGENT,LR-6517,331168,,Pippin Took,Frodo Baggins,2022-01-13 17:15:00,7920.0
Story,Helm's Deep is under siege,Done,2022-01-13 16:02:00,2022-01-13 13:19:00,High,LR-2482,331082,,Gimli,Frodo Baggins,2022-01-13 15:31:00,9000.0
Story,Frodo and Sam reach Mount Doom,Done,2022-01-21 12:11:00,2022-01-13 12:47:00,High,LR-3124,331073,,Gimli,Legolas,2022-01-13 16:58:00,3240.0
Story,Eowyn defeats the Witch-king,Done,2022-02-17 15:09:00,2022-01-13 12:40:00,High,LR-7946,331071,,Frodo Baggins,Boromir,2022-02-17 09:52:00,22200.0
Story,The Shire is restored to peace,Done,2022-02-12 09:45:00,2022-01-13 12:22:00,High,LR-1566,331051,,Gimli,Boromir,2022-02-12 09:43:00,
Story,Gollum's betrayal leads to chaos,Done,2022-02-12 09:45:00,2022-01-13 12:21:00,High,LR-9053,331050,,Frodo Baggins,Gimli,2022-02-11 19:37:00,14400.0
Story,The Shire is restored to peace,Done,2022-02-12 09:45:00,2022-01-13 12:10:00,High,LR-2135,331042,,Legolas,Samwise Gamgee,2022-02-12 09:44:00,17100.0
Story,The Shire is restored to peace,Done,2022-02-12 09:45:00,2022-01-13 12:09:00,High,LR-5554,331041,,Legolas,Legolas,2022-02-11 12:06:00,
Epic,The fellowship forms in Rivendell,Done,2022-02-12 09:45:00,2022-01-13 11:58:00,High,LR-2132,331037,,Legolas,Frodo Baggins,2022-02-12 09:44:00,
Code review,Helm's Deep is under siege,Done,2022-01-21 12:11:00,2022-01-12 00:38:00,High,LR-7930,330829,324838.0,Boromir,Aragorn,2022-01-20 14:49:00,15600.0
Story,The fellowship forms in Rivendell,Done,2022-01-21 12:11:00,2022-01-10 18:39:00,URGENT,LR-7611,330732,,Samwise Gamgee,Saruman,2022-01-20 00:26:00,19800.0
Task,Saruman's betrayal is revealed,Done,2022-02-19 14:52:00,2022-01-10 14:23:00,High,LR-8138,330675,,Frodo Baggins,Samwise Gamgee,2022-01-29 16:10:00,10800.0
Story,The Paths of the Dead are taken,Done,2022-01-13 16:02:00,2022-01-10 10:11:00,High,LR-1320,330592,,Legolas,Frodo Baggins,2022-01-10 12:23:00,7560.0
Task,The fellowship forms in Rivendell,Done,2022-01-22 15:40:00,2022-01-09 15:18:00,High,LR-1371,330401,,Frodo Baggins,Boromir,2022-01-21 21:35:00,9600.0
Sub-task,Helm's Deep is under siege,Done,2022-01-24 13:48:00,2022-01-09 14:07:00,ASAP,LR-3123,330353,324035.0,Frodo Baggins,Saruman,2022-01-23 14:21:00,9000.0
Sub-task,Aragorn claims the throne of Gondor,Done,2022-01-24 13:48:00,2022-01-09 14:07:00,ASAP,LR-5354,330352,324035.0,Aragorn,Frodo Baggins,2022-01-23 13:49:00,8640.0
Sub-task,Aragorn claims the throne of Gondor,Done,2022-01-21 12:11:00,2022-01-09 14:06:00,Unspecified,LR-9396,330350,324040.0,Gimli,Legolas,2022-01-17 11:09:00,8700.0
Sub-task,The fall of Sauron at Barad-dûr,Done,2022-01-21 12:11:00,2022-01-09 14:05:00,Unspecified,LR-6482,330349,324037.0,Gandalf the Grey,Gimli,2022-01-17 10:51:00,12300.0
Task,Gandalf returns to Middle-Earth,Done,2022-02-14 08:19:00,2022-01-09 12:55:00,ASAP,LR-5208,330329,,Gimli,Frodo Baggins,2022-02-12 10:04:00,112500.0
Task,The fellowship forms in Rivendell,Done,2022-02-10 09:39:00,2022-01-09 08:35:00,High,LR-7289,330212,,Pippin Took,Samwise Gamgee,2022-02-10 09:38:00,8400.0
Story,Eowyn defeats the Witch-king,Done,2022-01-21 12:11:00,2022-01-02 16:43:00,URGENT,LR-6709,328431,,Pippin Took,Boromir,2022-01-21 12:09:00,
Story,Aragorn claims the throne of Gondor,Done,2022-01-30 17:03:00,2022-01-08 10:35:00,High,LR-2155,329582,,Frodo Baggins,Boromir,2022-01-29 09:58:00,126000.0
Task,Aragorn claims the throne of Gondor,Done,2022-01-21 12:11:00,2022-01-08 10:11:00,Medium,LR-3941,329570,,Gimli,Aragorn,2022-01-16 15:14:00,
Task,The Mines of Moria are breached,Done,2022-02-18 21:22:00,2022-01-08 10:05:00,Medium,LR-3922,329568,,Samwise Gamgee,Gimli,2022-02-18 17:15:00,28800.0
Task,Gollum's betrayal leads to chaos,Done,2022-02-12 09:45:00,2022-01-07 23:50:00,Medium,LR-6674,329470,,Pippin Took,Gimli,2022-02-12 09:45:00,42600.0
Code review,The Paths of the Dead are taken,Done,2022-01-13 16:02:00,2022-01-07 18:36:00,ASAP,LR-8847,329435,329281.0,Frodo Baggins,Samwise Gamgee,2022-01-10 22:40:00,7200.0
Story,Gollum's betrayal leads to chaos,Done,2022-01-21 12:11:00,2022-01-02 16:43:00,Medium,LR-5178,328432,,Frodo Baggins,Frodo Baggins,2022-01-15 01:38:00,3600.0
Story,The Mines of Moria are breached,Done,2022-01-21 12:11:00,2022-01-02 16:44:00,Medium,LR-4775,328433,,Pippin Took,Samwise Gamgee,2022-01-21 12:10:00,
Story,The battle of Pelennor Fields,Done,2022-01-13 16:02:00,2022-01-07 12:51:00,ASAP,LR-2812,329281,,Pippin Took,Gandalf,2022-01-13 09:52:00,19800.0
Code review,Gandalf returns to Middle-Earth,Done,2022-01-21 12:11:00,2022-01-07 12:48:00,High,LR-9691,329280,285599.0,Samwise Gamgee,Legolas,2022-01-15 14:11:00,25200.0
Story,Saruman's betrayal is revealed,Done,2022-02-03 15:05:00,2022-01-07 11:19:00,High,LR-9158,329258,,Aragorn,Gimli,2022-02-03 15:05:00,6120.0
Story,Frodo and Sam reach Mount Doom,Done,2022-01-24 13:48:00,2022-01-07 10:07:00,Unspecified,LR-5456,329224,,Frodo Baggins,Legolas,2022-01-24 09:26:00,2700.0
Story,The fellowship forms in Rivendell,Done,2022-01-24 13:48:00,2022-01-07 10:04:00,Unspecified,LR-6415,329221,,Frodo Baggins,Legolas,2022-01-23 17:34:00,15120.0
Story,The Mines of Moria are breached,Done,2022-01-13 16:02:00,2022-01-07 09:30:00,Medium,LR-7160,329205,,Frodo Baggins,Saruman,2022-01-09 09:29:00,19800.0
Story,The Paths of the Dead are taken,Done,2022-01-13 16:02:00,2022-01-06 10:13:00,ASAP,LR-3352,328969,,Gimli,Legolas,2022-01-10 10:11:00,7200.0
Code review,Eowyn defeats the Witch-king,Done,2022-01-07 22:54:00,2022-01-03 17:32:00,High,LR-5656,328705,328414.0,Legolas,Boromir,2022-01-07 12:54:00,9000.0
Research,The Ents march on Isengard,Done,2022-01-07 22:54:00,2022-01-03 17:28:00,Medium,LR-1606,328702,,Aragorn,Frodo Baggins,2022-01-03 17:30:00,18000.0
Code review,The Ents march on Isengard,Done,2022-01-07 22:54:00,2022-01-03 17:21:00,High,LR-7183,328700,328411.0,Aragorn,Boromir,2022-01-07 12:54:00,9000.0
Story,Eowyn defeats the Witch-king,Done,2022-01-07 22:54:00,2022-01-03 12:54:00,ASAP,LR-2770,328636,,Gimli,Gimli,2022-01-07 15:50:00,
Story,The Mines of Moria are breached,Done,2022-01-07 22:54:00,2022-01-03 12:04:00,High,LR-7476,328625,,Gimli,Boromir,2022-01-03 13:44:00,3960.0
Code review,Helm's Deep is under siege,Done,2022-01-07 22:53:00,2022-01-03 11:49:00,ASAP,LR-2177,328621,328554.0,Aragorn,Gimli,2022-01-03 13:20:00,9000.0
Task,The battle of Pelennor Fields,Done,2022-01-22 15:39:00,2022-01-03 07:56:00,ASAP,LR-9173,328554,,Frodo Baggins,Frodo Baggins,2022-01-22 14:45:00,13680.0
Code review,The battle of Pelennor Fields,Done,2022-01-07 22:54:00,2022-01-03 10:24:00,High,LR-4817,328588,323449.0,Gimli,Legolas,2022-01-03 17:49:00,12600.0
Code review,Saruman's betrayal is revealed,Done,2022-01-07 22:54:00,2022-01-02 15:58:00,High,LR-7872,328417,328416.0,Pippin Took,Boromir,2022-01-06 00:09:00,5400.0
Story,Helm's Deep is under siege,Done,2022-01-13 16:02:00,2022-01-02 15:55:00,High,LR-7788,328416,,Gandalf the Grey,Gimli,2022-01-13 10:22:00,22800.0
Story,Aragorn claims the throne of Gondor,Done,2022-01-21 12:11:00,2022-01-02 15:53:00,High,LR-5632,328415,,Aragorn,Legolas,2022-01-15 10:05:00,28200.0
Story,The Paths of the Dead are taken,Done,2022-01-13 16:02:00,2022-01-02 15:52:00,High,LR-6372,328414,,Aragorn,Samwise Gamgee,2022-01-13 10:22:00,35700.0
Story,Helm's Deep is under siege,Done,2022-01-13 16:02:00,2022-01-02 15:50:00,High,LR-4794,328411,,Pippin Took,Boromir,2022-01-13 10:21:00,30000.0
Story,The Shire is restored to peace,Done,2022-01-07 22:54:00,2022-01-02 15:50:00,High,LR-7741,328410,,Boromir,Gimli,2022-01-03 13:26:00,16200.0
Code review,Gandalf returns to Middle-Earth,Done,2022-01-07 22:54:00,2022-01-02 14:02:00,High,LR-3862,328394,326416.0,Frodo Baggins,Aragorn,2022-01-06 10:26:00,10800.0
Task,Aragorn claims the throne of Gondor,Done,2022-01-07 22:54:00,2022-01-02 13:36:00,Unspecified,LR-9615,328383,,Gimli,Saruman,2022-01-02 15:46:00,9000.0
Code review,The fellowship forms in Rivendell,Done,2022-01-07 22:54:00,2022-01-01 16:30:00,ASAP,LR-7747,328189,327035.0,Pippin Took,Gimli,2022-01-02 11:22:00,12600.0
Code review,Gollum's betrayal leads to chaos,Done,2022-01-07 22:54:00,2022-01-01 15:11:00,ASAP,LR-8233,328170,327412.0,Legolas,Aragorn,2022-01-01 15:59:00,3600.0
Story,Eowyn defeats the Witch-king,Done,2022-02-12 09:45:00,2022-01-01 10:35:00,High,LR-4248,328087,,Boromir,Boromir,2022-02-11 17:54:00,
Code review,The Ents march on Isengard,Done,2022-01-07 22:54:00,2021-12-31 13:29:00,ASAP,LR-4197,327822,327645.0,Boromir,Frodo Baggins,2021-12-31 14:38:00,18720.0
Research,Gollum's betrayal leads to chaos,Done,2022-01-07 22:54:00,2021-12-31 12:29:00,Medium,LR-2157,327790,,Boromir,Gimli,2021-12-31 12:30:00,18000.0
Story,Aragorn claims the throne of Gondor,Done,2022-01-07 22:54:00,2021-12-31 00:09:00,High,LR-9046,327689,,Gandalf the Grey,Legolas,2021-12-31 00:10:00,5400.0
Bug,The battle of Pelennor Fields,Done,2022-01-07 22:54:00,2021-12-30 16:57:00,ASAP,LR-9068,327645,,Gimli,Boromir,2021-12-31 13:33:00,3600.0
Code review,Saruman's betrayal is revealed,Done,2022-01-07 22:54:00,2021-12-30 16:57:00,High,LR-5298,327644,327642.0,Gimli,Samwise Gamgee,2021-12-30 16:59:00,3600.0
Story,The Shire is restored to peace,Done,2022-01-07 22:54:00,2021-12-30 16:54:00,High,LR-6347,327642,,Gandalf the Grey,Frodo Baggins,2021-12-30 17:52:00,1800.0
Code review,Helm's Deep is under siege,Done,2022-01-07 22:54:00,2021-12-30 15:55:00,ASAP,LR-4949,327592,327110.0,Legolas,Boromir,2021-12-31 09:53:00,7200.0
Task,Gollum's betrayal leads to chaos,Done,2022-01-07 22:54:00,2021-12-30 09:29:00,ASAP,LR-7407,327412,,Samwise Gamgee,Gandalf,2022-01-07 22:53:00,23400.0
Code review,The Paths of the Dead are taken,Done,2022-01-07 22:54:00,2021-12-27 17:11:00,High,LR-1633,327137,326395.0,Samwise Gamgee,Legolas,2021-12-31 12:22:00,14400.0
Task,The battle of Pelennor Fields,Done,2022-01-27 16:35:00,2021-12-27 15:27:00,ASAP,LR-1668,327110,,Frodo Baggins,Samwise Gamgee,2022-01-13 18:49:00,56520.0
Code review,The battle of Pelennor Fields,Done,2022-01-07 22:54:00,2021-12-27 14:44:00,High,LR-5295,327097,326417.0,Aragorn,Saruman,2022-01-03 12:02:00,7200.0
Code review,The Paths of the Dead are taken,Done,2022-01-07 22:54:00,2021-12-27 13:31:00,ASAP,LR-4872,327067,327049.0,Boromir,Legolas,2021-12-27 15:56:00,1200.0
Story,The Shire is restored to peace,Done,2022-01-07 22:54:00,2021-12-27 13:00:00,ASAP,LR-6427,327049,,Gandalf the Grey,Frodo Baggins,2021-12-31 10:50:00,7200.0
Code review,Gandalf returns to Middle-Earth,Done,2022-01-07 22:54:00,2021-12-27 12:41:00,High,LR-7643,327034,326413.0,Gimli,Gandalf,2022-01-03 12:01:00,7200.0
Code review,Eowyn defeats the Witch-king,Done,2022-01-07 22:54:00,2021-12-27 00:05:00,ASAP,LR-3703,326899,326844.0,Frodo Baggins,Gandalf,2021-12-27 15:42:00,1200.0
Code review,Helm's Deep is under siege,Done,2022-01-07 22:54:00,2021-12-26 23:33:00,URGENT,LR-5069,326898,326207.0,Aragorn,Aragorn,2021-12-27 10:45:00,4500.0
Story,The Ents march on Isengard,Done,2022-01-07 22:54:00,2021-12-26 18:09:00,ASAP,LR-5250,326844,,Gimli,Boromir,2022-01-02 09:38:00,9000.0
Code review,The One Ring has been found,Done,2022-01-07 22:54:00,2021-12-26 18:07:00,High,LR-4124,326843,326394.0,Boromir,Samwise Gamgee,2021-12-31 11:26:00,10200.0
Code review,Saruman's betrayal is revealed,Done,2022-01-07 22:54:00,2021-12-26 17:18:00,ASAP,LR-8935,326825,326822.0,Samwise Gamgee,Legolas,2021-12-27 00:10:00,3600.0
Story,Eowyn defeats the Witch-king,Done,2022-01-07 22:54:00,2021-12-26 17:16:00,ASAP,LR-4251,326822,,Legolas,Samwise Gamgee,2021-12-26 18:09:00,5400.0
Story,Saruman's betrayal is revealed,Done,2022-01-07 22:54:00,2021-12-26 11:28:00,High,LR-3680,326665,,Samwise Gamgee,Aragorn,2021-12-26 11:29:00,10800.0
Code review,The Mines of Moria are breached,Done,2022-01-07 22:54:00,2021-12-26 11:16:00,High,LR-7015,326662,326639.0,Gandalf the Grey,Saruman,2021-12-26 13:14:00,3600.0
Code review,Eowyn defeats the Witch-king,Done,2022-01-07 22:54:00,2021-12-26 11:03:00,ASAP,LR-7276,326657,326376.0,Legolas,Saruman,2021-12-30 10:07:00,7920.0
Code review,Aragorn claims the throne of Gondor,Done,2022-01-07 22:54:00,2021-12-26 11:03:00,ASAP,LR-8179,326656,326376.0,Gimli,Saruman,2021-12-27 12:45:00,12600.0
Bug,Saruman's betrayal is revealed,Done,2022-01-07 22:54:00,2021-12-26 10:49:00,ASAP,LR-8713,326652,,Frodo Baggins,Boromir,2021-12-27 15:59:00,300.0
Code review,The battle of Pelennor Fields,Done,2022-01-07 22:54:00,2021-12-26 10:43:00,High,LR-3330,326649,326432.0,Gandalf the Grey,Saruman,2021-12-26 15:54:00,19800.0
Task,Frodo and Sam reach Mount Doom,Done,2022-01-07 22:54:00,2021-12-26 10:20:00,High,LR-6263,326639,,Gimli,Gimli,2021-12-27 13:33:00,3600.0
Bug,The Ents march on Isengard,Done,2022-01-07 22:54:00,2021-12-25 18:03:00,High,LR-3224,326528,,Gimli,Saruman,2022-01-02 12:03:00,7920.0
Bug,The One Ring has been found,Done,2022-01-07 22:54:00,2021-12-26 09:00:00,ASAP,LR-4629,326603,,Aragorn,Boromir,2021-12-26 16:47:00,900.0
Task,Frodo and Sam reach Mount Doom,Done,2022-01-30 17:03:00,2021-12-25 17:23:00,High,LR-2689,326526,,Frodo Baggins,Gimli,2022-01-28 09:58:00,9720.0
Code review,Gollum's betrayal leads to chaos,Done,2022-01-07 22:53:00,2021-12-25 17:10:00,High,LR-3371,326521,285604.0,Gandalf the Grey,Gimli,2021-12-27 13:31:00,3600.0
Task,The Paths of the Dead are taken,Done,2022-01-07 22:54:00,2021-12-23 22:23:00,ASAP,LR-2613,326043,,Pippin Took,Gandalf,2021-12-26 13:18:00,1200.0
Story,The fall of Sauron at Barad-dûr,Done,2022-01-07 22:54:00,2021-12-25 12:34:00,High,LR-4030,326432,,Samwise Gamgee,Boromir,2021-12-26 15:43:00,34200.0
Story,The One Ring has been found,Done,2022-01-07 22:54:00,2021-12-25 11:50:00,High,LR-6268,326417,,Boromir,Gimli,2022-01-03 16:50:00,11520.0
Story,Aragorn claims the throne of Gondor,Done,2022-01-07 22:54:00,2021-12-25 11:48:00,High,LR-4749,326416,,Legolas,Samwise Gamgee,2022-01-06 10:27:00,35640.0
Story,The Mines of Moria are breached,Done,2022-01-07 22:54:00,2021-12-25 11:43:00,High,LR-1085,326413,,Boromir,Gandalf,2022-01-03 16:48:00,9180.0
Story,The Shire is restored to peace,Done,2022-01-13 16:02:00,2021-12-25 11:14:00,High,LR-7727,326402,,Boromir,Aragorn,2022-01-13 16:02:00,2160.0
Bug,Gollum's betrayal leads to chaos,Done,2022-01-07 22:54:00,2021-12-25 11:08:00,URGENT,LR-1822,326399,,Gandalf the Grey,Boromir,2021-12-25 16:05:00,7200.0
Task,The Shire is restored to peace,Done,2022-01-13 16:02:00,2021-12-25 10:56:00,High,LR-1690,326395,,Legolas,Gimli,2022-01-13 13:22:00,21600.0
Task,The Paths of the Dead are taken,Done,2022-01-13 16:02:00,2021-12-25 10:55:00,High,LR-3705,326394,,Gimli,Aragorn,2022-01-13 13:23:00,14400.0
Story,The fellowship forms in Rivendell,Done,2022-01-07 22:54:00,2021-12-25 09:59:00,ASAP,LR-4829,326376,,Gandalf the Grey,Gimli,2021-12-30 12:09:00,
Bug,The Mines of Moria are breached,Done,2022-01-07 22:54:00,2021-12-24 10:50:00,URGENT,LR-7598,326128,,Samwise Gamgee,Samwise Gamgee,2021-12-24 17:56:00,
Code review,The Paths of the Dead are taken,Done,2022-01-07 22:54:00,2021-12-24 17:42:00,Medium,LR-9721,326254,322100.0,Pippin Took,Legolas,2021-12-26 09:22:00,5400.0
Story,The Mines of Moria are breached,Done,2022-01-07 22:54:00,2021-12-24 15:05:00,URGENT,LR-3126,326207,,Legolas,Boromir,2021-12-30 22:41:00,12600.0
Bug,Aragorn claims the throne of Gondor,Done,2022-01-07 22:54:00,2021-12-24 12:22:00,Unspecified,LR-1755,326169,,Aragorn,Aragorn,2021-12-24 13:23:00,600.0
Task,The Shire is restored to peace,Done,2022-01-07 22:54:00,2021-12-24 10:42:00,URGENT,LR-8135,326122,,Gandalf the Grey,Frodo Baggins,2021-12-24 13:21:00,
Task,The Shire is restored to peace,Done,2022-01-22 15:39:00,2021-12-23 17:34:00,Medium,LR-3339,326005,,Boromir,Gimli,2022-01-20 11:45:00,8400.0
Code review,Helm's Deep is under siege,Done,2022-01-07 22:54:00,2021-12-23 16:34:00,High,LR-1389,325963,322938.0,Frodo Baggins,Legolas,2021-12-23 17:17:00,7200.0
Sub-task,The One Ring has been found,Done,2022-01-07 22:54:00,2021-12-23 11:56:00,Unspecified,LR-3502,325880,325878.0,Samwise Gamgee,Samwise Gamgee,2021-12-24 09:47:00,5400.0
Story,Frodo and Sam reach Mount Doom,Done,2022-01-07 22:54:00,2021-12-23 11:56:00,Medium,LR-8394,325878,,Samwise Gamgee,Saruman,2021-12-24 16:35:00,9000.0
Code review,Helm's Deep is under siege,Done,2022-01-07 22:54:00,2021-12-23 09:55:00,ASAP,LR-3576,325839,325059.0,Gandalf the Grey,Legolas,2021-12-25 16:04:00,5400.0
Research,Gandalf returns to Middle-Earth,Done,2022-01-13 14:44:00,2021-12-20 17:35:00,Medium,LR-6408,325575,,Boromir,Legolas,2021-12-20 17:38:00,36000.0
Task,The Ents march on Isengard,Done,2022-01-21 12:11:00,2021-12-20 10:26:00,High,LR-4116,325419,,Gandalf the Grey,Frodo Baggins,2022-01-14 14:03:00,3600.0
Task,The Ents march on Isengard,Done,2022-01-21 12:11:00,2021-12-20 10:22:00,High,LR-9324,325418,,Gimli,Samwise Gamgee,2022-01-14 14:03:00,
Task,Eowyn defeats the Witch-king,Done,2022-01-21 12:11:00,2021-12-20 10:20:00,High,LR-3354,325415,,Pippin Took,Aragorn,2022-01-14 14:03:00,
Code review,The fall of Sauron at Barad-dûr,Done,2022-01-07 22:54:00,2021-12-19 15:44:00,High,LR-3777,325241,319839.0,Frodo Baggins,Gimli,2021-12-20 09:59:00,7200.0
Task,Helm's Deep is under siege,Done,2022-01-07 22:54:00,2021-12-19 14:44:00,High,LR-6763,325211,,Samwise Gamgee,Aragorn,2021-12-19 17:10:00,
Task,Eowyn defeats the Witch-king,Done,2022-01-07 22:54:00,2021-12-19 14:42:00,High,LR-2836,325209,,Gimli,Saruman,2021-12-19 17:10:00,
Task,Aragorn claims the throne of Gondor,Done,2022-01-07 22:54:00,2021-12-19 14:36:00,High,LR-8359,325205,,Gandalf the Grey,Samwise Gamgee,2021-12-19 17:10:00,1800.0
Story,Gollum's betrayal leads to chaos,Done,2022-02-03 15:05:00,2021-12-18 14:42:00,High,LR-1878,324815,,Legolas,Gandalf,2022-02-03 15:05:00,28440.0
